AreaDescripcion;Ubicacion;Fabricante;ArticuloCodigo;ArticuloDescripcion;Lote;FechaVencimiento;Días al vencimiento ;Cantidad;ContenedorNumero;EstadoDescripcion;Bultos;UnidadesSueltas;Critico
PREPARACION;PRE-001-001-001;;20-162N        ;MONOCOMANDO COCINA BLACK ADRA                                         ;;28/7/2031;1805;50;CARRO24;Activo;0;50;NO
PREPARACION;PRE-001-001-001;;20-205         ;20-205 - MONOCOMANDO DE COCINA STEEL;;28/7/2031;1805;12;CARRO42;Activo;0;12;NO
PREPARACION;PRE-001-001-001;;3006;3006 - SET DE 6 PIEZAS LINEA 3000;;29/7/2031;1806;6;CARRO30;Activo;0;6;NO
PREPARACION;PRE-001-001-001;;30-132         ;30-132 - COCINA MESADA MONOC. C/DUCHADOR EXTENSIBLE VIGO;;28/7/2031;1805;10;CARRO24;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;50-026         ;50-026 - JGO.MDA.P.FUNDIDO MURCIA PLUS;;12/1/2032;1973;10;CARRO26;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;51-058         ;51-058 - COCINA MESADA CR C.STD MALBA;;19/10/2031;1888;31;CARRO16;Activo;0;31;NO
PREPARACION;PRE-001-001-001;;51-059         ;51-059 - COCINA MESADA BL/CR C.STD MALBA;;13/12/2031;1943;9;CARRO16;Activo;0;9;NO
PREPARACION;PRE-001-001-001;;51-059         ;51-059 - COCINA MESADA BL/CR C.STD MALBA;;13/12/2031;1943;4;CARRO8;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;51-122         ;51-122 - MESADA BIMANDO CR C.CERAM VALENCIA;;3/1/2032;1964;3;CARRO16;Activo;0;3;NO
PREPARACION;PRE-001-001-001;;53-023         ;53-023 - COCINA PARED EXT. P.ALTO BL/CR ARES PLUS;;26/11/2031;1926;30;CARRO30;Activo;0;30;NO
PREPARACION;PRE-001-001-001;;54-130         ;54-130 - MONOCOMANDO COCINA PARED EXT BILBAO;;27/7/2031;1804;6;CARRO69;Activo;0;6;NO
PREPARACION;PRE-001-001-001;;54-203         ;COCINA PARED EXT C.CERAM ADRA MONOCOMANDO                             ;;29/7/2031;1806;40;CARRO24;Activo;0;40;NO
PREPARACION;PRE-001-001-001;;55-001         ;"55-001 - COCINA PARED EMBUTIR PICO ALTO ""CROMO Y""";;12/10/2031;1881;20;CARRO80;Activo;0;20;NO
PREPARACION;PRE-001-001-001;;60-023         ;60-023 - LAVATORIO BL/CR ARES PLUS;;19/10/2031;1888;10;CARRO30;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;60-025         ;60-025 - LAVATORIO BLANCO BASICA PLUS;;29/10/2031;1898;30;CARRO26;Activo;0;30;NO
PREPARACION;PRE-001-001-001;;60-057         ;60-057 - LAVATORIO C.STD VERIN PLUS;;26/11/2031;1926;10;CARRO13;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;60-059LT       ;LAVATORIO BL/CR C.STD MALBA LITE                                      ;;18/1/2032;1979;15;CARRO80;Activo;0;15;NO
